[2021-06-14 00:27:09,887: WARNING/ForkPoolWorker-6] 60748417 function calls (60137521 primitive calls) in 48.617 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    18960    0.029    0.000    5.296    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/indexing.py:165(_slice)
37925/37924    0.288    0.000    5.283    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/indexes/base.py:277(__new__)
    18960    0.034    0.000    5.268    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/series.py:1064(_slice)
    18964    0.072    0.000    5.179    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/series.py:1180(_get_values)
    75846    0.557    0.000    4.875    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/arrays/datetimes.py:1784(sequence_to_dt64ns)
    18964    0.095    0.000    4.669    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/internals/managers.py:1541(get_slice)
    85340    0.188    0.000    4.664    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/indexes/datetimes.py:1219(__getitem__)
    37920    0.180    0.000    4.551    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/internals/blocks.py:1293(take_nd)
   986064    0.914    0.000    4.343    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/dtypes/base.py:231(is_dtype)
37923/37922    0.238    0.000    4.297    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/nanops.py:62(_f)
    37921    0.690    0.000    3.788    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/algorithms.py:1608(take_nd)
        3    0.000    0.000    3.390    1.130 /home/jmartty/tsa/ts-analysis/backend/ts_project/salib/model/analysis.py:42(<dictcomp>)
    37920    0.171    0.000    3.330    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/nanops.py:469(nansum)
    75846    0.167    0.000    2.780    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/arrays/datetimes.py:2010(maybe_convert_dtype)
7225345/7225339    2.489    0.000    2.722    0.000 {built-in method builtins.getattr}
  4370943    1.282    0.000    2.678    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/dtypes/generic.py:7(_check)
   530928    0.291    0.000    2.594    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/dtypes/common.py:539(is_datetime64tz_dtype)
    75840    0.462    0.000    2.476    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/indexes/base.py:2957(get_indexer)
    37920    0.181    0.000    2.431    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/indexes/base.py:3364(reindex)
    47464    2.244    0.000    2.312    0.000 /home/jmartty/tsa/ts-analysis/backend/ts_project/salib/model/utils.py:4(timestamp_to_epoch)
    47404    0.118    0.000    2.273    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/series.py:1068(__getitem__)
        1    0.000    0.000    2.255    2.255 /home/jmartty/tsa/ts-analysis/backend/ts_project/salib/model/analysis.py:27(<dictcomp>)
    47404    0.100    0.000    2.114    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/indexes/datetimes.py:971(get_value)
    47404    0.408    0.000    1.946    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/indexes/base.py:4702(get_value)
    75846    0.437    0.000    1.932    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/indexes/datetimes.py:340(_simple_new)
   208568    0.372    0.000    1.917    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/common.py:99(is_bool_indexer)
