[2021-06-14 00:27:09,887: WARNING/ForkPoolWorker-6] 60748417 function calls (60137521 primitive calls) in 48.617 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.010    0.005 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/django/db/backends/base/base.py:256(cursor)
        2    0.000    0.000    0.010    0.005 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/django/db/backends/base/base.py:234(_cursor)
      4/2    0.000    0.000    0.010    0.005 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/django/db/backends/base/base.py:214(ensure_connection)
        1    0.000    0.000    0.010    0.010 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/django/db/backends/base/base.py:184(connect)
        1    0.000    0.000    0.009    0.009 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/django/db/backends/postgresql/base.py:185(get_new_connection)
    37976    0.009    0.000    0.009    0.000 {method 'items' of 'dict' objects}
    37921    0.009    0.000    0.009    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/nanops.py:173(_get_fill_value)
        1    0.000    0.000    0.009    0.009 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/psycopg2/__init__.py:82(connect)
        1    0.009    0.009    0.009    0.009 {built-in method psycopg2._psycopg._connect}
    37930    0.009    0.000    0.009    0.000 {method 'values' of 'dict' objects}
    37920    0.008    0.000    0.008    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/internals/managers.py:1606(_consolidate_inplace)
    37921    0.008    0.000    0.008    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/indexes/base.py:1524(nlevels)
    37920    0.008    0.000    0.008    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/indexing.py:873(_convert_for_reindex)
    37920    0.008    0.000    0.008    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/indexes/base.py:3285(_convert_index_indexer)
    18961    0.007    0.000    0.007    0.000 {built-in method pandas._libs.tslibs.timezones.tz_compare}
     9483    0.001    0.000    0.007    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/arrays/datetimes.py:683(__iter__)
 1307/251    0.001    0.000    0.006    0.000 /usr/lib/python3.6/typing.py:1145(__subclasscheck__)
    37932    0.006    0.000    0.006    0.000 /home/jmartty/tsa/ts-analysis/backend/ts_project/salib/model/pipeline/nodes/node.py:67(get_param)
    18966    0.006    0.000    0.006    0.000 {method 'upper' of 'str' objects}
        3    0.006    0.002    0.006    0.002 {pandas._libs.tslib.ints_to_pydatetime}
    18962    0.005    0.000    0.005    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/arrays/datetimes.py:2073(maybe_infer_tz)
    18964    0.004    0.000    0.004    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/arrays/base.py:349(ndim)
    37920    0.004    0.000    0.004    0.000 /home/jmartty/tsa/ts-analysis/backend/ts_project/salib/model/pipeline/params/param.py:11(is_set)
        8    0.000    0.000    0.004    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/internals/construction.py:630(sanitize_array)
        2    0.000    0.000    0.003    0.002 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/dtypes/cast.py:63(maybe_convert_platform)
        2    0.000    0.000    0.003    0.002 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/django/db/backends/utils.py:96(execute)
        3    0.003    0.001    0.003    0.001 {method 'execute' of 'psycopg2.extensions.cursor' objects}
        2    0.000    0.000    0.003    0.001 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/django/db/backends/utils.py:65(execute)
        2    0.000    0.000    0.003    0.001 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/django/db/backends/utils.py:71(_execute_with_wrappers)
        2    0.000    0.000    0.003    0.001 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/django/db/backends/utils.py:77(_execute)
       32    0.000    0.000    0.003    0.000 /home/jmartty/tsa/ts-analysis/backend/ts_project/salib/model/anomaly.py:18(output_format)
        2    0.003    0.001    0.003    0.001 {pandas._libs.lib.maybe_convert_objects}
       10    0.002    0.000    0.002    0.000 {pandas._libs.lib.infer_dtype}
        4    0.000    0.000    0.002    0.001 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/frame.py:397(__init__)
        1    0.000    0.000    0.002    0.002 /home/jmartty/tsa/ts-analysis/backend/ts_project/salib/model/pipeline/nodes/transformers/std_normalize.py:8(transform)
      4/2    0.000    0.000    0.002    0.001 <frozen importlib._bootstrap>:966(_find_and_load)
      4/2    0.000    0.000    0.002    0.001 <frozen importlib._bootstrap>:936(_find_and_load_unlocked)
        2    0.000    0.000    0.002    0.001 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/django/db/models/query.py:936(filter)
        2    0.000    0.000    0.002    0.001 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/django/db/models/query.py:952(_filter_or_exclude)
      585    0.001    0.000    0.002    0.000 /usr/lib/python3.6/_weakrefset.py:58(__iter__)
      3/2    0.000    0.000    0.002    0.001 <frozen importlib._bootstrap>:651(_load_unlocked)
        2    0.000    0.000    0.002    0.001 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/django/db/models/query.py:965(_filter_or_exclude_inplace)
        2    0.000    0.000    0.002    0.001 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/django/db/models/sql/query.py:1346(add_q)
        1    0.000    0.000    0.002    0.002 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/internals/construction.py:216(init_dict)
        2    0.000    0.000    0.002    0.001 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/django/db/models/sql/query.py:1366(_add_q)
      3/2    0.000    0.000    0.002    0.001 <frozen importlib._bootstrap_external>:672(exec_module)
    56/53    0.000    0.000    0.002    0.000 /usr/lib/python3.6/typing.py:875(__extrahook__)
        2    0.000    0.000    0.002    0.001 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/arrays/datetimes.py:1927(objects_to_datetime64ns)
        2    0.002    0.001    0.002    0.001 {built-in method pandas._libs.tslib.array_to_datetime}
        2    0.000    0.000    0.002    0.001 /usr/lib/python3.6/importlib/__init__.py:108(import_module)
        2    0.000    0.000    0.002    0.001 <frozen importlib._bootstrap>:982(_gcd_import)
        2    0.000    0.000    0.002    0.001 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/ops/__init__.py:974(wrapper)
        1    0.000    0.000    0.002    0.002 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/window.py:273(_wrap_results)
        2    0.000    0.000    0.001    0.001 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/django/db/models/sql/query.py:272(get_compiler)
        4    0.000    0.000    0.001    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/series.py:1115(_get_with)
        2    0.000    0.000    0.001    0.001 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/django/db/backends/base/operations.py:325(compiler)
       16    0.000    0.000    0.001    0.000 /home/jmartty/tsa/ts-analysis/backend/ts_project/salib/model/analysis.py:28(<lambda>)
        2    0.000    0.000    0.001    0.001 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/urllib3/response.py:569(from_httplib)
       16    0.000    0.000    0.001    0.000 /home/jmartty/tsa/ts-analysis/backend/ts_project/salib/model/analysis.py:43(<lambda>)
        1    0.000    0.000    0.001    0.001 /home/jmartty/tsa/ts-analysis/backend/ts_project/salib/model/pipeline/pipeline.py:38(from_json)
        5    0.001    0.000    0.001    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/dtypes/cast.py:1239(construct_1d_object_array_from_listlike)
        4    0.000    0.000    0.001    0.000 /home/jmartty/tsa/ts-analysis/backend/ts_project/salib/model/series.py:7(__init__)
        2    0.000    0.000    0.001    0.001 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/series.py:4703(dropna)
        1    0.000    0.000    0.001    0.001 /home/jmartty/tsa/ts-analysis/backend/ts_project/salib/model/pipeline/pipeline.py:41(<listcomp>)
        3    0.000    0.000    0.001    0.000 /home/jmartty/tsa/ts-analysis/backend/ts_project/salib/model/pipeline/node_factory.py:99(from_json)
        2    0.000    0.000    0.001    0.001 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/dtypes/missing.py:558(remove_na_arraylike)
        2    0.000    0.000    0.001    0.001 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/urllib3/response.py:193(__init__)
        2    0.000    0.000    0.001    0.001 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/ops/__init__.py:946(na_op)
        4    0.000    0.000    0.001    0.000 /usr/lib/python3.6/collections/__init__.py:586(update)
        1    0.000    0.000    0.001    0.001 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/internals/construction.py:69(arrays_to_mgr)
        2    0.000    0.000    0.001    0.001 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/django/db/models/sql/query.py:2357(add_votes)
        3    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:743(get_code)
        2    0.000    0.000    0.001    0.001 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/urllib3/response.py:469(read)
        4    0.000    0.000    0.001    0.000 /home/jmartty/tsa/ts-analysis/backend/ts_project/salib/model/series.py:15(calculate_interval)
        2    0.000    0.000    0.001    0.000 /usr/lib/python3.6/http/client.py:208(parse_headers)
        2    0.000    0.000    0.001    0.000 /usr/lib/python3.6/http/client.py:452(read)
        2    0.001    0.000    0.001    0.000 /home/jmartty/tsa/ts-analysis/backend/ts_project/tasks/analysis_tasks.py:30(<listcomp>)
      3/2    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
      3/2    0.000    0.000    0.001    0.000 {built-in method builtins.exec}
        8    0.000    0.000    0.001    0.000 /home/jmartty/tsa/ts-analysis/backend/ts_project/salib/model/pipeline/node_factory.py:121(set_param_value)
        2    0.000    0.000    0.001    0.000 /usr/lib/python3.6/http/client.py:610(_safe_read)
        8    0.000    0.000    0.001    0.000 /home/jmartty/tsa/ts-analysis/backend/ts_project/salib/model/pipeline/nodes/node.py:42(set_param_value)
        1    0.000    0.000    0.001    0.001 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/reshape/concat.py:31(concat)
        2    0.000    0.000    0.001    0.000 {method 'read' of '_io.BufferedReader' objects}
    154/8    0.000    0.000    0.001    0.000 /usr/lib/python3.6/copy.py:132(deepcopy)
        3    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:485(_compile_bytecode)
        3    0.001    0.000    0.001    0.000 {built-in method marshal.loads}
       74    0.001    0.000    0.001    0.000 {method 'decode' of 'bytes' objects}
        2    0.000    0.000    0.001    0.000 /usr/lib/python3.6/email/parser.py:59(parsestr)
        2    0.000    0.000    0.001    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/django/db/models/sql/query.py:1203(build_filter)
        2    0.000    0.000    0.001    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/django/db/models/sql/compiler.py:488(as_sql)
        2    0.000    0.000    0.001    0.000 /usr/lib/python3.6/email/parser.py:41(parse)
    14/10    0.000    0.000    0.001    0.000 /usr/lib/python3.6/copy.py:268(_reconstruct)
        2    0.000    0.000    0.001    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/elasticsearch/connection/base.py:103(log_request_success)
        4    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:870(_find_spec)
      449    0.001    0.000    0.001    0.000 {method '__subclasses__' of 'type' objects}
      3/2    0.000    0.000    0.001    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/nanops.py:96(f)
      393    0.000    0.000    0.001    0.000 /usr/lib/python3.6/_weakrefset.py:26(__exit__)
        2    0.000    0.000    0.001    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/series.py:803(__array_ufunc__)
        1    0.000    0.000    0.001    0.001 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/computation/expressions.py:7(<module>)
        2    0.000    0.000    0.001    0.000 /usr/lib/python3.6/logging/__init__.py:1298(info)
        4    0.000    0.000    0.001    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/internals/managers.py:126(__init__)
        1    0.000    0.000    0.001    0.001 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/window.py:245(_wrap_result)
        2    0.000    0.000    0.001    0.000 /usr/lib/python3.6/logging/__init__.py:1421(_log)
        1    0.000    0.000    0.001    0.001 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/reshape/concat.py:266(__init__)
        1    0.000    0.000    0.000    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/internals/managers.py:1691(create_block_manager_from_arrays)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.6/email/feedparser.py:173(feed)
      399    0.000    0.000    0.000    0.000 /usr/lib/python3.6/_weakrefset.py:81(add)
     12/8    0.000    0.000    0.000    0.000 /usr/lib/python3.6/copy.py:236(_deepcopy_dict)
        2    0.000    0.000    0.000    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/django/db/models/sql/compiler.py:49(pre_sql_setup)
        4    0.000    0.000    0.000    0.000 /usr/lib/python3.6/email/feedparser.py:178(_call_parse)
      393    0.000    0.000    0.000    0.000 /usr/lib/python3.6/_weakrefset.py:20(__enter__)
        4    0.000    0.000    0.000    0.000 /usr/lib/python3.6/email/feedparser.py:218(_parsegen)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.6/http/client.py:1284(request)
        1    0.000    0.000    0.000    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/internals/construction.py:133(init_ndarray)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.6/http/client.py:1289(_send_request)
        1    0.000    0.000    0.000    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/window.py:124(_create_blocks)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1149(find_spec)
        5    0.000    0.000    0.000    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/indexes/base.py:1732(is_monotonic_increasing)
        1    0.000    0.000    0.000    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/internals/construction.py:331(extract_index)
        1    0.000    0.000    0.000    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/generic.py:11625(stat_func)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1117(_get_spec)
        1    0.000    0.000    0.000    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/generic.py:5730(_to_dict_of_blocks)
        1    0.000    0.000    0.000    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/indexes/api.py:151(_union_indexes)
        2    0.000    0.000    0.000    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/django/db/models/sql/compiler.py:43(setup_query)
        1    0.000    0.000    0.000    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/internals/managers.py:854(to_dict)
        1    0.000    0.000    0.000    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/indexes/datetimes.py:531(union_many)
        1    0.000    0.000    0.000    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/reshape/concat.py:489(_get_new_axes)
        1    0.000    0.000    0.000    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/internals/managers.py:1667(create_block_manager_from_blocks)
        2    0.000    0.000    0.000    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/django/db/models/sql/compiler.py:199(get_select)
        1    0.000    0.000    0.000    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/django/db/backends/postgresql/base.py:220(init_connection_state)
        1    0.000    0.000    0.000    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/internals/managers.py:1726(form_blocks)
        1    0.000    0.000    0.000    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/generic.py:11594(stat_func)
        1    0.000    0.000    0.000    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/internals/managers.py:876(<dictcomp>)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1233(find_spec)
        1    0.000    0.000    0.000    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/django/db/models/sql/compiler.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/internals/managers.py:717(combine)
        1    0.000    0.000    0.000    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/generic.py:10749(rolling)
    22/18    0.000    0.000    0.000    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/django/db/models/sql/compiler.py:425(compile)
        1    0.000    0.000    0.000    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/django/db/backends/postgresql/base.py:209(ensure_timezone)
        1    0.000    0.000    0.000    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/reshape/concat.py:535(_get_concat_axis)
        1    0.000    0.000    0.000    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/nanops.py:681(nanstd)
        1    0.000    0.000    0.000    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/indexes/base.py:2461(union)
        2    0.000    0.000    0.000    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/ops/__init__.py:913(_construct_result)
        1    0.000    0.000    0.000    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/window.py:2842(rolling)
        2    0.000    0.000    0.000    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/series.py:863(construct_return)
        8    0.000    0.000    0.000    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/base.py:831(array)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.6/logging/__init__.py:1446(handle)
        1    0.000    0.000    0.000    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/reshape/concat.py:595(_concat_indexes)
        1    0.000    0.000    0.000    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/indexes/base.py:4310(append)
        1    0.000    0.000    0.000    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/computation/check.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/window.py:70(__init__)
        2    0.000    0.000    0.000    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/generic.py:4266(reindex)
        1    0.000    0.000    0.000    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/indexes/base.py:4339(_concat)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.6/logging/__init__.py:1500(callHandlers)
        1    0.000    0.000    0.000    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/reshape/concat.py:430(get_result)
        4    0.000    0.000    0.000    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/series.py:889(__array__)
        1    0.000    0.000    0.000    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/compat/_optional.py:52(import_optional_dependency)
        5    0.000    0.000    0.000    0.000 {built-in method builtins.__build_class__}
        1    0.000    0.000    0.000    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/window.py:1709(validate)
        1    0.000    0.000    0.000    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/indexes/datetimes.py:502(_union)
    20/17    0.000    0.000    0.000    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/django/utils/functional.py:40(__get__)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.6/logging/__init__.py:852(handle)
        4    0.000    0.000    0.000    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/django/db/models/sql/compiler.py:1600(cursor_iter)
        1    0.000    0.000    0.000    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/nanops.py:715(nanvar)
        4    0.000    0.000    0.000    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/internals/managers.py:216(_rebuild_blknos_and_blklocs)
        4    0.000    0.000    0.000    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/_config/config.py:109(_set_option)
        2    0.000    0.000    0.000    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/dtypes/cast.py:986(maybe_cast_to_datetime)
        1    0.000    0.000    0.000    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/nanops.py:508(nanmean)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.6/logging/__init__.py:982(emit)
        1    0.000    0.000    0.000    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/indexes/base.py:4347(_concat_same_dtype)
        7    0.000    0.000    0.000    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/dtypes/missing.py:48(isna)
        1    0.000    0.000    0.000    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/dtypes/concat.py:497(_concat_index_asobject)
        4    0.000    0.000    0.000    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/django/db/models/sql/compiler.py:1606(<lambda>)
        3    0.000    0.000    0.000    0.000 /home/jmartty/tsa/ts-analysis/backend/ts_project/salib/model/pipeline/node_factory.py:118(__init__)
        1    0.000    0.000    0.000    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/internals/managers.py:2020(concatenate_block_managers)
      393    0.000    0.000    0.000    0.000 /usr/lib/python3.6/_weakrefset.py:16(__init__)
        2    0.000    0.000    0.000    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/django/db/models/sql/query.py:1138(build_lookup)
        4    0.000    0.000    0.000    0.000 /usr/lib/python3.6/contextlib.py:85(__exit__)
      393    0.000    0.000    0.000    0.000 /usr/lib/python3.6/_weakrefset.py:52(_commit_removals)
        3    0.000    0.000    0.000    0.000 /home/jmartty/tsa/ts-analysis/backend/ts_project/salib/model/pipeline/node_factory.py:49(base_node)
        2    0.000    0.000    0.000    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/_config/config.py:403(__enter__)
      313    0.000    0.000    0.000    0.000 /usr/lib/python3.6/typing.py:1019(_abc_negative_cache)
      799    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
    13/12    0.000    0.000    0.000    0.000 {built-in method builtins.next}
        1    0.000    0.000    0.000    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/internals/managers.py:1837(_multi_blockify)
        2    0.000    0.000    0.000    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/urllib3/connection.py:190(putrequest)
        2    0.000    0.000    0.000    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/psycopg2/extensions.py:146(make_dsn)
      7/5    0.000    0.000    0.000    0.000 {built-in method builtins.all}
       93    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
        4    0.000    0.000    0.000    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/indexing.py:2377(check_bool_indexer)
        1    0.000    0.000    0.000    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/internals/construction.py:300(_homogenize)
        4    0.000    0.000    0.000    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/django/db/models/query.py:1280(_chain)
        2    0.000    0.000    0.000    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/django/db/models/sql/where.py:65(as_sql)
        4    0.000    0.000    0.000    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/generic.py:4497(<genexpr>)
        9    0.000    0.000    0.000    0.000 /usr/lib/python3.6/copy.py:210(_deepcopy_list)
        1    0.000    0.000    0.000    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/indexes/base.py:652(_shallow_copy_with_infer)
      187    0.000    0.000    0.000    0.000 /usr/lib/python3.6/typing.py:1033(_abc_negative_cache_version)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.6/http/client.py:1087(putrequest)
        1    0.000    0.000    0.000    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/series.py:4218(reindex)
        4    0.000    0.000    0.000    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/django/db/models/query.py:1292(_clone)
        2    0.000    0.000    0.000    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/django/db/models/sql/compiler.py:640(get_default_columns)
        4    0.000    0.000    0.000    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/internals/managers.py:654(_consolidate_check)
        8    0.000    0.000    0.000    0.000 /usr/lib/python3.6/email/message.py:564(get_content_type)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.6/logging/__init__.py:1406(makeRecord)
        4    0.000    0.000    0.000    0.000 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/numpy/core/_methods.py:26(_amax)
